raceId,raceName,year,Prediction 3,Prediction 4,Prediction 5
1039,Tuscan Grand Prix,2020,3.3312116275155494,3.517502703505644,3.4572974337228723
1040,Russian Grand Prix,2020,3.3452480116836965,3.0259328981657423,3.5775556999970872
1041,Eifel Grand Prix,2020,4.1289545710039155,3.995123054029305,4.641887591011629
1042,Portuguese Grand Prix,2020,3.2316887654330406,2.9076535686535685,2.321702867546471
1043,Emilia Romagna Grand Prix,2020,4.2924892663945275,3.772101651616357,3.906447323370478
1044,Turkish Grand Prix,2020,3.4690087861938346,4.210854347041847,3.474860237438669
1045,Bahrain Grand Prix,2020,3.1329787416249166,2.3843242025518343,3.363043387244504
1046,Sakhir Grand Prix,2020,2.6629063730286404,3.152197581739249,3.1925127799629602
1047,Abu Dhabi Grand Prix,2020,2.1883618645714717,2.2519706314926897,2.6181143596871537
1051,Qatar Grand Prix,2021,3.521557885787053,3.5815748803665475,3.5334477112393774
1052,Bahrain Grand Prix,2021,2.9460584461963855,3.1744160897581946,3.395569681861349
1053,Emilia Romagna Grand Prix,2021,3.472910244412875,3.2574704498488862,3.3165326839858595
1054,Portuguese Grand Prix,2021,3.095628404626045,2.653886202686203,2.8950788893018347
1055,Spanish Grand Prix,2021,2.9121545562104383,2.3659435446734207,2.0330020981926156
1056,Monaco Grand Prix,2021,2.7090835235294324,2.7129139997429474,2.7266790092623427
1057,Azerbaijan Grand Prix,2021,3.501940468957363,4.667694917655444,3.6463841699414186
1058,Styrian Grand Prix,2021,2.7660353162014597,2.5844934640522874,2.42637796979273
1059,French Grand Prix,2021,3.556177411118604,3.4494357983852204,3.4059708102103023
1060,Austrian Grand Prix,2021,3.3447565844515657,2.9088222301852733,2.9371927823407122
1061,British Grand Prix,2021,2.6076489483717773,2.5936500857710816,3.5075704083191903
1062,Hungarian Grand Prix,2021,4.8507030060450855,5.310522638415861,5.092252148982162
1063,Belgian Grand Prix,2021,1.857593241435005,2.2981097171246634,3.1528615109134073
1064,Dutch Grand Prix,2021,3.0911957948720734,3.1993912309876817,2.6407559882884577
1065,Italian Grand Prix,2021,3.368312190534126,4.341371808969064,3.2171608447351026
